Carro,Descripcion,Modelo,empresa,puesto
Chrysler,focus group,1995,Kare,VP Product Management
Pontiac,eco-centric,1973,Abatz,Marketing Assistant
Toyota,analyzing,1994,InnoZ,Editor
Hyundai,User-friendly,1996,Aibox,Data Coordiator
Kia,customer loyalty,2007,Mycat,Compensation Analyst
Chevrolet,zero defect,1992,Linkbuzz,Internal Auditor
Ford,User-centric,2001,Pixonyx,Senior Cost Accountant
Chevrolet,Extended,1963,Yadel,Nuclear Power Engineer
Ford,artificial intelligence,2004,Flipstorm,Assistant Media Planner
Oldsmobile,service-desk,1993,Eayo,Software Engineer II
Volkswagen,stable,2012,Rhyzio,General Manager
Chevrolet,5th generation,1997,Topicware,Legal Assistant
GMC,background,2004,Oyoyo,Database Administrator III
Volkswagen,extranet,2002,Voomm,Food Chemist
GMC,Implemented,2004,Tekfly,Automation Specialist III
Ford,database,1988,Divavu,Editor
Mercedes-Benz,composite,2002,Tagchat,Help Desk Operator
Toyota,Compatible,1995,Vidoo,Office Assistant I
Mercedes-Benz,human-resource,2007,Oyonder,Marketing Manager
Audi,extranet,1986,Youopia,Environmental Tech
Ford,4th generation,2010,Geba,Account Coordinator
Scion,solution-oriented,2004,Brightbean,Analog Circuit Design manager
Suzuki,multimedia,2006,Devpulse,Paralegal
BMW,24 hour,1998,Wordware,Quality Engineer
Pontiac,radical,1985,Lazzy,Accountant III
Ford,transitional,2008,Meedoo,Technical Writer
Dodge,national,2010,Topiclounge,Geological Engineer
Mercedes-Benz,Up-sized,1993,Shufflebeat,Operator
Porsche,Focused,2006,Dabshots,Sales Associate
Mercedes-Benz,Integrated,2001,Zoonder,Help Desk Operator
Mercury,Open-source,2005,Lazz,Environmental Specialist
Chevrolet,function,1996,Twinder,Account Coordinator
Mitsubishi,complexity,1989,Divape,Sales Representative
BMW,Diverse,1994,Blogpad,Environmental Specialist
Porsche,internet solution,1994,Skiptube,Quality Engineer
Suzuki,solution-oriented,1995,Rhynoodle,Social Worker
Honda,contextually-based,2002,Shuffletag,Director of Sales
Ford,knowledge user,2002,Browsedrive,Human Resources Manager
Mercedes-Benz,model,2004,Devshare,Assistant Media Planner
