Carro,Descripcion,Modelo,empresa,puesto
Dodge,Right-sized,2010,Oyope,Account Representative I
Lexus,Phased,2013,Tagfeed,Teacher
Maybach,support,2004,Yozio,Staff Scientist
Chevrolet,Optimized,2011,Oyondu,Account Coordinator
Mercury,toolset,2007,Twitterwire,Dental Hygienist
Mercedes-Benz,human-resource,2005,Cogilith,Structural Analysis Engineer
Lincoln,zero tolerance,2011,Skinder,Product Engineer
Volkswagen,Grass-roots,1985,Wordify,Executive Secretary
Acura,benchmark,1992,Yodo,Research Nurse
GMC,Visionary,2000,Topicshots,Software Test Engineer II
Oldsmobile,real-time,1995,Fliptune,Environmental Specialist
Toyota,Sharable,2007,Zoomzone,Pharmacist
Audi,human-resource,1990,Livepath,Web Developer II
BMW,open architecture,2006,Oyoloo,Account Coordinator
Ford,even-keeled,1992,Blogpad,Product Engineer
Lamborghini,neural-net,2004,Eare,Business Systems Development Analyst
Suzuki,Persistent,2011,Kwimbee,Community Outreach Specialist
Porsche,human-resource,1994,Tagtune,Environmental Tech
Mercedes-Benz,Reduced,1996,Skinder,Statistician II
Nissan,Distributed,1994,Riffwire,Analog Circuit Design manager
Dodge,attitude,2005,Zoomlounge,Assistant Professor
Volvo,transitional,2010,Jetwire,Executive Secretary
Mazda,actuating,2001,Kanoodle,Programmer II
Volvo,bandwidth-monitored,2011,Devify,Graphic Designer
Pontiac,orchestration,1990,Twitterbridge,Junior Executive
Honda,Reactive,1989,Edgepulse,Structural Engineer
Mercedes-Benz,multi-tasking,1997,Blogtag,Occupational Therapist
Studebaker,function,1961,Zoonoodle,Analyst Programmer
Audi,Centralized,1998,Photospace,Administrative Officer
Lincoln,web-enabled,2011,Zava,Account Coordinator
Dodge,help-desk,1996,Skidoo,Research Assistant I
Ford,toolset,2000,Agimba,Payment Adjustment Coordinator
Buick,methodical,1991,Brainsphere,Research Associate
Chevrolet,Reduced,1959,Skinix,Information Systems Manager
Porsche,fresh-thinking,2009,Quatz,Administrative Assistant III
Mitsubishi,Fully-configurable,1996,Wikivu,Assistant Manager
Toyota,installation,2011,Topicstorm,Director of Sales
Buick,Implemented,1989,Quatz,Sales Representative
GMC,architecture,2002,Kazu,Structural Engineer
Honda,data-warehouse,1991,Topicshots,Information Systems Manager
Subaru,functionalities,2004,Youtags,Design Engineer
Volvo,eco-centric,1998,Jabberbean,Senior Quality Engineer
Honda,Total,1985,Vidoo,Product Engineer
Toyota,neural-net,1992,Youspan,Product Engineer
Chevrolet,Fully-configurable,2003,Skiptube,Clinical Specialist
Hyundai,Stand-alone,2011,Zooveo,Financial Analyst
Jaguar,support,2001,Browsezoom,Dental Hygienist
Ford,capability,2008,Dynava,Environmental Tech
Mazda,bifurcated,1993,Youspan,Senior Quality Engineer
Lincoln,Graphic Interface,2003,Skyble,Civil Engineer
Volkswagen,multi-state,2010,Jabbersphere,Executive Secretary
Suzuki,user-facing,2012,Rhyloo,Account Coordinator
Chevrolet,3rd generation,2000,Tagcat,Dental Hygienist
Volvo,attitude,2006,Jetpulse,Web Designer II
Cadillac,time-frame,2011,Feedfire,Senior Financial Analyst
Chrysler,global,1999,Babbleblab,Human Resources Assistant IV
Volkswagen,utilisation,2005,Skimia,Financial Analyst
Land Rover,optimal,2009,Tagchat,VP Marketing
Ford,Distributed,1970,Centimia,VP Accounting
Mazda,bottom-line,2006,Oozz,Safety Technician I
Jeep,Front-line,2008,Yambee,Budget/Accounting Analyst III
Oldsmobile,Visionary,1996,Teklist,Help Desk Operator
Mazda,hybrid,1991,Quaxo,Information Systems Manager
Mitsubishi,disintermediate,1999,Bluezoom,Civil Engineer
GMC,portal,2005,Zoombeat,Information Systems Manager
Mazda,interactive,1984,Roodel,Financial Advisor
Nissan,actuating,2006,Wordtune,Health Coach IV
Infiniti,Innovative,2005,Bubblemix,Research Nurse
Mitsubishi,contextually-based,1985,Jamia,Safety Technician III
Chevrolet,interactive,2006,Browsecat,VP Marketing
Ford,empowering,2010,Livetube,Staff Scientist
Volkswagen,product,1993,Camido,Automation Specialist I
Ford,analyzer,1989,Fiveclub,VP Quality Control
Plymouth,hierarchy,1996,Ntag,Recruiting Manager
Mercedes-Benz,clear-thinking,2002,Eayo,Web Developer IV
Hummer,policy,2010,Gigabox,VP Sales
Infiniti,static,2011,Gigaclub,Cost Accountant
Mazda,Monitored,1993,Skynoodle,Account Representative I
Suzuki,Fundamental,2003,Youtags,Information Systems Manager
Scion,throughput,2010,Trudeo,Human Resources Manager
Volkswagen,middleware,2008,Miboo,Financial Analyst
Nissan,Face to face,1990,Kwimbee,Physical Therapy Assistant
Austin,Ergonomic,1964,Roodel,Automation Specialist II
Dodge,Object-based,2011,Thoughtbridge,Programmer IV
Pontiac,function,1991,Rhycero,Programmer Analyst IV
Volvo,client-driven,2012,Jayo,Staff Scientist
Chevrolet,Distributed,1995,Oyonder,Office Assistant I
Mercedes-Benz,even-keeled,2001,Tazzy,Web Designer III
Toyota,portal,2007,Ntag,Software Test Engineer I
Honda,tangible,2009,Livefish,Geologist III
Buick,strategy,1996,Zava,VP Quality Control
Volvo,architecture,2009,Photobean,Internal Auditor
Dodge,attitude,1994,Livetube,VP Sales
Toyota,Managed,2012,Feedmix,Nuclear Power Engineer
Lamborghini,Reactive,2010,Rhyloo,Research Assistant III
Saab,Configurable,2009,Yamia,Nurse Practicioner
Chevrolet,Face to face,1998,Voonix,Cost Accountant
Mercedes-Benz,Total,2000,Meedoo,Financial Advisor
Chevrolet,exuding,1994,Flashdog,Human Resources Assistant I
GMC,actuating,2005,Brightdog,Database Administrator III
Mercury,help-desk,1992,Oba,Nuclear Power Engineer
Kia,client-driven,2008,Jetwire,Internal Auditor
Infiniti,fault-tolerant,2004,Skippad,Information Systems Manager
Mitsubishi,Profit-focused,1994,Demivee,Occupational Therapist
Subaru,toolset,2001,Podcat,Graphic Designer
GMC,6th generation,1999,Oyoloo,Senior Developer
GMC,capability,2000,Wikibox,Chemical Engineer
Ford,composite,1999,Buzzshare,Editor
Toyota,bandwidth-monitored,1992,Zoomdog,Engineer I
Volkswagen,executive,1988,Devshare,Assistant Media Planner
Subaru,reciprocal,2009,Talane,Senior Editor
Nissan,knowledge base,1992,Einti,Director of Sales
Honda,contextually-based,2003,Feedfire,Sales Associate
Mercedes-Benz,Right-sized,2012,Jetpulse,Speech Pathologist
BMW,Organized,2003,Babblestorm,Financial Analyst
Jeep,didactic,2010,Jaxspan,VP Marketing
Jeep,attitude-oriented,2006,Aibox,Senior Financial Analyst
Toyota,dedicated,2003,Blogspan,Senior Developer
Chevrolet,context-sensitive,2012,Skinder,Sales Representative
Ford,global,2005,Centizu,VP Quality Control
Nissan,knowledge user,2004,Blogtags,Editor
Chevrolet,Function-based,2001,Nlounge,Staff Scientist
BMW,Object-based,2010,Shufflebeat,Engineer III
Mazda,application,1983,Zoonoodle,Director of Sales
Chevrolet,challenge,1994,Topiclounge,Analyst Programmer
Pontiac,Upgradable,2009,Cogibox,Assistant Professor
Hyundai,coherent,2006,Dabtype,Business Systems Development Analyst
Chevrolet,utilisation,2006,Riffwire,Product Engineer
Toyota,Grass-roots,2003,Camido,Account Representative III
Dodge,regional,1993,Gabtype,Database Administrator II
Volvo,Networked,1995,Pixonyx,Research Associate
Ford,open system,1989,Reallinks,Engineer III
Lamborghini,Implemented,2009,Eire,Administrative Officer
Audi,De-engineered,2010,Edgeify,Associate Professor
Ford,synergy,1994,Gabspot,Account Executive
Honda,encompassing,1988,Twitternation,Marketing Manager
Chevrolet,interactive,1996,Livetube,Help Desk Technician
Ford,Open-source,1955,Tanoodle,Analyst Programmer
Buick,methodology,1989,Dabfeed,Editor
Honda,eco-centric,2010,Abatz,Nurse
Mazda,intangible,2006,Skimia,Senior Developer
Oldsmobile,executive,1992,Bubblemix,Nurse Practicioner
Mitsubishi,concept,1998,Buzzster,Chemical Engineer
Chevrolet,structure,2008,Geba,Senior Editor
Porsche,Reactive,1989,Meezzy,Account Coordinator
BMW,capacity,2001,Zoovu,Account Coordinator
Buick,intermediate,2004,Topicblab,Nurse
Nissan,Exclusive,2012,Yozio,Tax Accountant
Subaru,global,2011,Twitterbeat,Mechanical Systems Engineer
Mazda,service-desk,1993,Voonyx,Accounting Assistant IV
Mazda,throughput,2011,Oloo,Account Coordinator
BMW,real-time,1995,Realcube,Environmental Tech
Pontiac,explicit,1967,Shuffletag,Cost Accountant
Toyota,Inverse,2001,Youspan,Account Executive
Maybach,Ergonomic,2005,Skidoo,Software Consultant
Nissan,Enhanced,1997,Kanoodle,Senior Cost Accountant
Mercedes-Benz,holistic,1988,Flipbug,Senior Cost Accountant
Pontiac,cohesive,1992,Wordify,Executive Secretary
Hyundai,capacity,2012,Meedoo,Software Test Engineer II
Porsche,Cross-platform,1993,Topicshots,Technical Writer
Ford,even-keeled,1998,Cogibox,Technical Writer
Spyker,project,2004,Buzzbean,VP Sales
