Carro,Descripcion,Modelo,empresa,puesto
Chrysler,foreground,2007,Leenti,Research Assistant IV
Lincoln,Expanded,2003,Buzzshare,VP Product Management
Toyota,Enterprise-wide,2008,Babblestorm,Account Coordinator
Suzuki,dynamic,2004,Kamba,Project Manager
Dodge,algorithm,2012,Realblab,Product Engineer
Buick,project,2004,Flashdog,Internal Auditor
GMC,ability,1999,Twitterlist,Administrative Officer
BMW,Organic,2001,Skiptube,Senior Cost Accountant
GMC,responsive,2001,Bubblebox,Software Consultant
Mazda,Profound,1999,Edgepulse,Administrative Assistant III
Chevrolet,throughput,2010,Tavu,Senior Developer
Porsche,workforce,2005,Edgetag,Statistician I
Lexus,stable,2002,Browsezoom,Senior Developer
Nissan,Organized,1996,Vitz,Mechanical Systems Engineer
Mitsubishi,zero tolerance,1987,Eazzy,Programmer IV
Lincoln,real-time,2010,Skyba,Media Manager III
Bentley,static,2007,Ntag,Pharmacist
Dodge,concept,2001,Tavu,Human Resources Manager
GMC,Object-based,1992,Eabox,Systems Administrator IV
Chrysler,regional,2006,Mycat,Professor
Chevrolet,analyzing,2009,Blogpad,Nurse Practicioner
Chevrolet,coherent,2011,Ntags,Editor
Ford,Intuitive,2005,Yodo,Administrative Officer
Ford,methodology,1992,Dynava,Nurse
Honda,Total,1993,Brainlounge,Senior Quality Engineer
Cadillac,Devolved,1996,Katz,Dental Hygienist
Chevrolet,capacity,2012,Livetube,Paralegal
Mazda,project,2000,Jayo,Recruiting Manager
Chevrolet,composite,2006,Bubblebox,Biostatistician III
Isuzu,static,2006,Fanoodle,Food Chemist
Ford,24 hour,2006,Kimia,Administrative Assistant I
Volvo,Reverse-engineered,1997,Tavu,GIS Technical Architect
Buick,conglomeration,2000,Meejo,Director of Sales
Aston Martin,24 hour,2011,Mynte,Pharmacist
Pontiac,Intuitive,1993,Shuffletag,Programmer II
Infiniti,Stand-alone,2002,Buzzbean,Dental Hygienist
Toyota,radical,1995,Katz,Senior Quality Engineer
Chevrolet,flexibility,2000,Eabox,Software Engineer III
Pontiac,hybrid,1986,Babbleset,Graphic Designer
Chevrolet,Focused,1984,Divape,Structural Engineer
Lexus,Advanced,2004,Topdrive,Product Engineer
Mazda,Reduced,1987,Demizz,Administrative Officer
BMW,content-based,2010,Rhycero,VP Sales
Buick,dedicated,1993,Mynte,Senior Editor
Chrysler,encryption,2007,Trunyx,VP Product Management
Infiniti,middleware,1992,Snaptags,Senior Cost Accountant
MINI,productivity,2012,Buzzbean,Structural Analysis Engineer
Kia,national,1999,Abatz,Help Desk Technician
Mazda,Advanced,1994,Photofeed,Engineer II
Eagle,Streamlined,1992,Centizu,Financial Advisor
Dodge,responsive,2010,Riffwire,Food Chemist
Nissan,initiative,1979,Ooba,Budget/Accounting Analyst I
Pontiac,Customizable,1998,Meezzy,Engineer IV
Land Rover,foreground,2011,Twitternation,Executive Secretary
McLaren,multi-tasking,2012,Thoughtstorm,Senior Cost Accountant
Ford,multimedia,2012,Dynabox,Administrative Assistant IV
Subaru,Balanced,2010,Omba,Associate Professor
Land Rover,moratorium,1994,Tambee,Systems Administrator I
BMW,Enhanced,2012,Blogpad,Health Coach I
Suzuki,Reduced,2006,Oba,Food Chemist
Toyota,solution,2004,Jatri,Professor
Mercury,forecast,1997,Zoomlounge,Software Consultant
Land Rover,matrices,2011,Photolist,Internal Auditor
Chrysler,project,1995,DabZ,Food Chemist
Nissan,support,2009,Realpoint,Programmer Analyst III
GMC,Customizable,2006,Feedbug,Health Coach IV
